ao,clave_ent,edo,homicidio,robocasa,robocalle,robocarro,extorsion,tasa_hom,tasa_rcasa,tasa_rcalle,tasa_rcarro,tasa_extor,desocupa,edad15a24,edad25a34,edad35a44,edad45mas,pob_tot,pibe,ingreso,pob_ext,pobreza
2018,30,Veracruz,2439,1999,1687,8719,578,28.92,23.7,20,103.38,6.85,3.163996935,1425325,1297107,1113142,2421880,8434163,794376.3125,112360,17.7,61.78
2019,30,Veracruz,2185,2177,2100,6515,560,25.74,25.65,24.74,76.75,6.6,2.941308022,1418284,1308730,1119214,2477008,8488447,797507.9375,,,
2015,31,Yucatan,104,2540,308,288,68,4.89,119.32,14.47,13.53,3.19,2.565455914,391970,350467,293309,540830,2128802,230374.5313,181960,8.81,43.74
2016,31,Yucatan,110,1753,194,404,57,5.1,81.31,9,18.74,2.64,2.017282963,392422,357397,298077,556964,2155883,242505.3125,182260,6.15,41.87
2017,31,Yucatan,85,1407,84,414,33,3.9,64.47,3.85,18.97,1.51,2.081083059,391578,364168,302764,574624,2182255,252391.125,184981,4.75,40.73
2018,31,Yucatan,88,1395,90,301,5,3.99,63.17,4.08,13.63,0.23,1.779453039,390425,370432,307563,592635,2208236,260417.8281,191822,6.66,40.8
2019,31,Yucatan,133,1631,168,280,7,5.95,73.01,7.52,12.53,0.31,1.866047025,389130,376006,312636,610906,2233866,264656.8125,,,
2015,32,Zacatecas,357,895,50,2222,91,22.29,55.88,3.12,138.73,5.68,3.445678949,288128,240611,203934,392776,1601701,159905.3594,141364,4.63,50.94
2016,32,Zacatecas,609,529,35,2243,81,37.67,32.72,2.16,138.74,5.01,2.98775506,287737,244033,205566,402801,1616675,157998.0625,150466,3.52,49
2017,32,Zacatecas,690,707,62,2036,188,42.34,43.38,3.8,124.92,11.54,2.696444988,287225,246919,206776,412832,1629789,157621.125,153315,2.93,47.34
2018,32,Zacatecas,700,697,55,1967,235,42.62,42.44,3.35,119.76,14.31,2.947349072,286899,249508,207994,422859,1642388,156725.4688,140328,3.37,46.76
2019,32,Zacatecas,666,604,38,1711,339,40.25,36.5,2.3,103.41,20.49,3.002321005,286862,251723,209355,432853,1654593,152011.7813,,,
